소계,42569.0,100.0
서울,17479.0,41.06039606286265
인천,4613.0,10.836524231248092
수원시,2110,4.956658601329607
용인시,1858,4.364678521929103
성남시,1684,3.955930371866852
고양시,1604,3.7680001879301837
전체,4079,100.0
춘천시,1104,27.06545721990684
강릉시,799,19.58813434665359
원주시,705,17.28364795292964
삼척시,289,7.085069870066192
평창군,154,3.7754351556754107
속초시,135,3.309634714390782
합계,17858.0,100.0
대전,3598.0,20.147832904020607
청주,3298,18.46791354015007
충주,1705,9.547541717997536
천안시,1159,6.490088475753164
아산시,912,5.106954866166424
세종,897.0,5.022958897972897
합계,18967.0,100.0
광주,3042.0,16.038382453735437
순천,2258.0,11.90488743607318
나주,2170.0,11.440923709600884
여수,1777.0,9.36890388569621
영광,1050.0,5.535930827226235
광양,1047.0,5.520113882005589
합계,30568.0,100.0
대구,9020.0,29.507982203611622
부산,4634.0,15.1596440722324
울산,3555.0,11.629808950536509
창원시,2561,8.3780423972782
포항시,2086,6.824129808950537
구미시,929,3.039125883276629
합계,21285,100.0
제주시,15901,74.7051914493775
서귀포시,5384,25.294808550622506
