,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_n_jobs,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.8448202610015869,1.1654907710823852,0.0400580883026123,0.002068088532966509,,gini,4,auto,50,-1,0,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 50, 'n_jobs': -1, 'random_state': 0}",0.986946066643765,0.8162830642390931,0.986946066643765,0.8002610966057441,0.9869451697127938,0.9154762927690323,0.08767838449715085,46
1,0.2674249172210693,0.004380187313809772,0.04157214164733887,0.0064240155749748645,,gini,4,auto,50,-1,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 50, 'n_jobs': -1, 'random_state': 10}",0.986946066643765,0.8162830642390931,0.986946066643765,0.9869451697127938,0.9869451697127938,0.952813107390442,0.06826502157685298,4
2,0.26466708183288573,0.0071183186907073604,0.042407655715942384,0.00532037949928793,,gini,4,auto,50,-1,42,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 50, 'n_jobs': -1, 'random_state': 42}",0.986946066643765,0.8082445894881484,0.986946066643765,0.8002610966057441,0.9869451697127938,0.9138685978188434,0.0895364883466105,106
3,0.2708894729614258,0.007004088986857993,0.04035449028015137,0.003620839787654781,,gini,4,auto,50,-1,99,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 50, 'n_jobs': -1, 'random_state': 99}",0.986946066643765,0.8082445894881484,0.986946066643765,0.9869451697127938,0.9869451697127938,0.9512054124402531,0.07148041147717787,25
4,0.261514949798584,0.005039802187416239,0.038174104690551755,0.0019768702828004583,,gini,4,auto,50,-1,1008,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 50, 'n_jobs': -1, 'random_state': 1008}",0.986946066643765,0.8082445894881484,0.986946066643765,0.8002610966057441,0.9869451697127938,0.9138685978188434,0.0895364883466105,106
5,0.33907380104064944,0.00800018311541612,0.05086989402770996,0.0029823474678911457,,gini,4,auto,100,-1,0,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 0}",0.986946066643765,0.8162830642390931,0.986946066643765,0.9869451697127938,0.9869451697127938,0.952813107390442,0.06826502157685298,4
6,0.36677122116088867,0.023526008915889792,0.0770334243774414,0.02881302709572189,,gini,4,auto,100,-1,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 10}",0.986946066643765,0.8162830642390931,0.986946066643765,0.8003298062388347,0.9869451697127938,0.9154900346956503,0.08766032914523236,37
7,0.38683280944824217,0.017494553656484717,0.06317734718322754,0.008240615010529244,,gini,4,auto,100,-1,42,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42}",0.986946066643765,0.8082445894881484,0.986946066643765,0.8002610966057441,0.9869451697127938,0.9138685978188434,0.0895364883466105,106
8,0.38602776527404786,0.019300455522578915,0.06328530311584472,0.013860922922457043,,gini,4,auto,100,-1,99,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 99}",0.986946066643765,0.8162830642390931,0.986946066643765,0.9869451697127938,0.9869451697127938,0.952813107390442,0.06826502157685298,4
9,0.3977497100830078,0.02085904275293936,0.057085704803466794,0.008568489330092743,,gini,4,auto,100,-1,1008,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 1008}",0.986946066643765,0.8082445894881484,0.986946066643765,0.8002610966057441,0.9869451697127938,0.9138685978188434,0.0895364883466105,106
10,0.6008255481719971,0.042570269798679755,0.08656897544860839,0.013548300701484935,,gini,4,auto,200,-1,0,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 0}",0.986946066643765,0.8162830642390931,0.986946066643765,0.9869451697127938,0.9869451697127938,0.952813107390442,0.06826502157685298,4
11,0.5344720840454101,0.014989566412382022,0.07709417343139649,0.002004055515319896,,gini,4,auto,200,-1,10,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 10}",0.986946066643765,0.8162830642390931,0.986946066643765,0.9869451697127938,0.9869451697127938,0.952813107390442,0.06826502157685298,4
12,0.5218737602233887,0.006660215049214523,0.11918611526489258,0.08506341145042985,,gini,4,auto,200,-1,42,"{'class_weight': None, 'criterion': 'gini', 'max_depth': 4, 'max_features': 'auto', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}",0.986946066643765,0.8082445894881484,0.986946066643765,0.8002610966057441,0.9869451697127938,0.9138685978188434,0.0895364883466105,106
